rule_id,dataset,record_key,severity,issue_description,suggested_action
DQ001,customers,C006,High,customer_id C006 appears 2 times in source (exact duplicate rows),No further action needed
DQ002,customers,C004,Medium,Customer C004 has no email address on record,Contact the customer to obtain a valid email address and update the source record; flag account for manual outreach
DQ003,customers,C002,Medium,Customer C002 country 'US' is a non-standard variant; should be 'USA',No further action needed
DQ003,customers,C002,Medium,Customer C002 state 'Illinois' is a full name; should use two-letter code,No further action needed
DQ003,customers,C003,Medium,Customer C003 country 'United States' is a non-standard variant; should be 'USA',No further action needed
DQ003,customers,C006,Medium,Customer C006 country 'US' is a non-standard variant; should be 'USA',No further action needed
DQ003,customers,C006,Medium,Customer C006 state 'New York' is a full name; should use two-letter code,No further action needed
DQ003,customers,C008,Medium,Customer C008 state 'Texas' is a full name; should use two-letter code,No further action needed
DQ003,customers,C011,Medium,Customer C011 country 'United States' is a non-standard variant; should be 'USA',No further action needed
DQ003,customers,C015,Medium,Customer C015 state 'Florida' is a full name; should use two-letter code,No further action needed
DQ004,orders,O1018,High,order_id O1018 appears 2 times in source (exact duplicate rows),No further action needed
DQ005,orders,O1019,High,Order O1019 references non-existent customer_id 'C999',Verify and correct the customer_id on the order; quarantine the order for manual review if the customer cannot be found
DQ006,orders,O1020,High,Order O1020 references non-existent product_id 'P999',Verify and correct the product_id on the order; mark for review if the product cannot be identified
DQ007,orders,O1030,High,Completed order O1030 has non-positive quantity -1 (gross total: -21.0),Investigate for data-entry error; correct the quantity or reclassify the order status (e.g. returned or cancelled)
DQ008,orders,O1021,High,Order O1021 stated total 50.0 does not match computed 44.0 (variance: 6.0),Reconcile the order total with line-item pricing; escalate discrepancy to finance for adjustment or repricing
DQ009,payments,PMT029,High,Payment PMT029 references non-existent order_id 'O9999',Trace the orphan payment to its correct order; link or initiate a finance write-off if unresolvable
DQ010,payments,PMT021,High,Payment PMT021 settled amount 44.0 does not match completed order O1021 total 50.0,Reconcile the settled amount with the order total; initiate a payment adjustment or chargeback as appropriate
DQ011,support_tickets,T010,Medium,Ticket T010 has unparseable created_ts: 'bad_timestamp',Correct the malformed timestamp in the source system; enforce ISO 8601 format (YYYY-MM-DD HH:MM:SS) at ticket creation
DQ012,support_tickets,T005,Medium,Ticket T005 references non-existent customer_id 'C999',Verify the customer reference on the ticket; link to the correct customer or create a new customer record
DQ013,customers,C019,High,customer_id C019 resolves to the same person as canonical customer C001 (matching full_name + phone or email),"Verify the diplicates via the id_crosswalk table; currently it has been updated using the most complete or if both complete, the lowest customer_key"
DQ014,orders,O1015,Medium,Order O1015 references inactive product P011 (active_flag = 0),Remove the inactive product from the order or reactivate the product; verify fulfilment capability and review pricing before shipment
